,model,price,state
105,iPhone 7 256GB Preto Matte,2799.0,Muito Bom
106,iPhone 7 256GB Preto Matte,2799.0,Bom
107,iPhone 5S 64GB Dourado,1129.0,Excelente
108,iPhone 5S 64GB Dourado,1129.0,Muito Bom
109,iPhone 5S 64GB Dourado,1129.0,Bom
110,iPhone 5S 64GB Dourado,1129.0,Bom - Sem Touch ID
111,iPhone 7 Plus 32GB Preto Matte,2869.0,Excelente
112,iPhone 7 Plus 32GB Preto Matte,2799.0,Muito Bom
113,iPhone 7 Plus 32GB Preto Matte,2834.0,Bom
114,iPhone 7 256GB Dourado,2799.0,Excelente
115,iPhone 7 256GB Dourado,2799.0,Muito Bom
116,iPhone 7 256GB Dourado,2799.0,Bom
117,iPhone 7 256GB Dourado,2799.0,Excelente
118,iPhone 7 256GB Dourado,2799.0,Muito Bom
119,iPhone 7 256GB Dourado,2799.0,Bom
120,iPhone 5C 16GB Branco,534.0,Excelente
121,iPhone 5C 16GB Branco,569.0,Muito Bom
122,iPhone 5C 16GB Branco,499.0,Bom
123,iPhone 6S 16GB Ouro Rosa,1429.0,Excelente
124,iPhone 6S 16GB Ouro Rosa,1429.0,Muito Bom
125,iPhone 6S 16GB Ouro Rosa,1429.0,Bom
126,iPhone 6S 16GB Ouro Rosa,1429.0,Bom - Sem Touch ID
127,Iphone 6 Plus 64GB Dourado,1759.0,Excelente
128,Iphone 6 Plus 64GB Dourado,1759.0,Muito Bom
129,Iphone 6 Plus 64GB Dourado,1759.0,Bom
130,Iphone 6 Plus 64GB Dourado,1759.0,Bom - Sem Touch ID
131,iPhone 7 128GB Preto Matte,2544.0,Excelente
132,iPhone 7 128GB Preto Matte,2639.0,Muito Bom
133,iPhone 7 128GB Preto Matte,2449.0,Bom
134,iPhone 5S 32GB Prateado,829.0,Excelente
135,iPhone 5S 32GB Prateado,879.0,Muito Bom
136,iPhone 5S 32GB Prateado,779.0,Bom
137,iPhone 5S 32GB Prateado,829.0,Bom - Sem Touch ID
138,iPhone 7 Plus 128GB Ouro Rosa,3199.0,Excelente
139,iPhone 7 Plus 128GB Ouro Rosa,3199.0,Muito Bom
140,iPhone 7 Plus 128GB Ouro Rosa,3199.0,Bom
141,iPhone 6S Plus 64GB Cinza Espacial,2249.0,Excelente
142,iPhone 6S Plus 64GB Cinza Espacial,2142.33,Muito Bom
143,iPhone 6S Plus 64GB Cinza Espacial,1929.0,Bom
144,iPhone 6S Plus 64GB Cinza Espacial,2249.0,Bom - Sem Touch ID
145,iPhone 7 128GB Vermelho,2699.0,Excelente
146,iPhone 7 128GB Vermelho,2639.0,Muito Bom
147,iPhone 7 128GB Vermelho,2669.0,Bom
148,iPhone 5S 32GB Cinza Espacial,949.0,Excelente
149,iPhone 5S 32GB Cinza Espacial,879.0,Muito Bom
150,iPhone 5S 32GB Cinza Espacial,779.0,Bom
151,iPhone 5S 32GB Cinza Espacial,869.0,Bom - Sem Touch ID
152,iPhone 6S 64GB Cinza Espacial,1949.0,Excelente
153,iPhone 6S 64GB Cinza Espacial,1629.0,Muito Bom
154,iPhone 6S 64GB Cinza Espacial,1649.0,Bom
155,iPhone 6S 64GB Cinza Espacial,1289.0,Bom - Sem Touch ID
156,iPhone 6S 64GB Cinza Espacial,1949.0,Excelente
