,model,price,state
98,Samsung Galaxy J2 Prime TV Preto,"369,00",Excelente
99,Samsung Galaxy J2 Prime TV Preto,,Muito Bom
100,Samsung Galaxy J2 Prime TV Preto,,Bom
101,Samsung Galaxy A7 2016 Rosa,,Excelente
102,Samsung Galaxy A7 2016 Rosa,"679,00",Muito Bom
103,Samsung Galaxy A7 2016 Rosa,"629,00",Bom
104,Samsung Galaxy J5 8GB Dourado,"449,00",Excelente
105,Samsung Galaxy J5 8GB Dourado,"409,00",Muito Bom
106,Samsung Galaxy J5 8GB Dourado,,Bom
107,Samsung Galaxy S5 New Edition Duos Dourado,,Excelente
108,Samsung Galaxy S5 New Edition Duos Dourado,"599,00",Muito Bom
109,Samsung Galaxy S5 New Edition Duos Dourado,"569,00",Bom
110,Samsung Gear Fit 2 Grande Preto,,Excelente
111,Samsung Gear Fit 2 Grande Preto,"489,00",Muito Bom
112,Samsung Gear Fit 2 Grande Preto,,Bom
113,Samsung Galaxy J7 2016 Metal Branco,"569,00",Excelente
114,Samsung Galaxy J7 2016 Metal Branco,,Muito Bom
115,Samsung Galaxy J7 2016 Metal Branco,,Bom
116,Samsung Galaxy Note 8 128GB Preto,"2.799,00",Excelente
117,Samsung Galaxy Note 8 128GB Preto,"2.659,00",Muito Bom
118,Samsung Galaxy Note 8 128GB Preto,"2.519,00",Bom
119,Samsung Galaxy Note 8 128GB Preto,"2.799,00",Novo
120,Samsung Galaxy S7 32GB Dourado,,Excelente
121,Samsung Galaxy S7 32GB Dourado,"1.099,00",Muito Bom
122,Samsung Galaxy S7 32GB Dourado,"1.009,00",Bom
123,Samsung Galaxy S4 Mini Duos Branco,,Excelente
124,Samsung Galaxy S4 Mini Duos Branco,"319,00",Muito Bom
125,Samsung Galaxy S4 Mini Duos Branco,,Bom
126,Samsung Galaxy J5 Prime Rosa,"609,00",Excelente
127,Samsung Galaxy J5 Prime Rosa,,Muito Bom
128,Samsung Galaxy J5 Prime Rosa,,Bom
129,Samsung Galaxy Note 5 Dourado,"1.339,00",Excelente
130,Samsung Galaxy Note 5 Dourado,"1.219,00",Muito Bom
131,Samsung Galaxy Note 5 Dourado,"1.059,00",Bom
132,Samsung Galaxy Note 5 Dourado,,Bom - Sem Touch ID
133,Samsung Galaxy Grand Duos i9082 Branco,"299,00",Excelente
134,Samsung Galaxy Grand Duos i9082 Branco,"259,00",Muito Bom
135,Samsung Galaxy Grand Duos i9082 Branco,,Bom
136,Samsung Galaxy S3 Slim Duos Preto,,Excelente
137,Samsung Galaxy S3 Slim Duos Preto,"309,00",Muito Bom
138,Samsung Galaxy S3 Slim Duos Preto,,Bom
139,Samsung Galaxy S9 Plus 128GB Ultravioleta,,Excelente
140,Samsung Galaxy S9 Plus 128GB Ultravioleta,"3.349,00",Muito Bom
141,Samsung Galaxy S9 Plus 128GB Ultravioleta,,Bom
142,Samsung Galaxy S9 Plus 128GB Ultravioleta,,Bom - Sem Touch ID
143,Samsung Galaxy S9 Plus 128GB Ultravioleta,,Novo
144,Samsung Galaxy A3 Duos Branco,"449,00",Excelente
145,Samsung Galaxy A3 Duos Branco,,Muito Bom
146,Samsung Galaxy A3 Duos Branco,,Bom
147,Samsung Galaxy J5 8GB Preto,"449,00",Excelente
148,Samsung Galaxy J5 8GB Preto,"409,00",Muito Bom
149,Samsung Galaxy J5 8GB Preto,,Bom
150,Samsung Galaxy A7 Branco,,Excelente
151,Samsung Galaxy A7 Branco,"639,00",Muito Bom
152,Samsung Galaxy A7 Branco,,Bom
153,Samsung Galaxy S6 Edge Plus 32GB Preto,,Excelente
154,Samsung Galaxy S6 Edge Plus 32GB Preto,"1.199,00",Muito Bom
155,Samsung Galaxy S6 Edge Plus 32GB Preto,,Bom
156,Samsung Galaxy A5 Dourado,,Excelente
157,Samsung Galaxy A5 Dourado,,Muito Bom
158,Samsung Galaxy A5 Dourado,"409,00",Bom
159,Samsung Galaxy A7 2016 Dourado,"799,00",Excelente
160,Samsung Galaxy A7 2016 Dourado,"679,00",Muito Bom
161,Samsung Galaxy A7 2016 Dourado,"629,00",Bom
162,Samsung Galaxy Note 4 Preto,,Excelente
163,Samsung Galaxy Note 4 Preto,,Muito Bom
164,Samsung Galaxy Note 4 Preto,"709,00",Bom
165,Samsung Galaxy A7 2016 Preto,"799,00",Excelente
166,Samsung Galaxy A7 2016 Preto,"679,00",Muito Bom
167,Samsung Galaxy A7 2016 Preto,"629,00",Bom
168,Samsung Galaxy A5 Branco,"499,00",Excelente
169,Samsung Galaxy A5 Branco,"459,00",Muito Bom
170,Samsung Galaxy A5 Branco,"409,00",Bom
171,Samsung Galaxy J5 16GB Branco,"489,00",Excelente
172,Samsung Galaxy J5 16GB Branco,"449,00",Muito Bom
173,Samsung Galaxy J5 16GB Branco,"399,00",Bom
174,Samsung Galaxy J5 16GB Preto,"489,00",Excelente
175,Samsung Galaxy J5 16GB Preto,"449,00",Muito Bom
176,Samsung Galaxy J5 16GB Preto,"399,00",Bom
177,Samsung Galaxy A7 2017 Preto,"999,00",Excelente
178,Samsung Galaxy A7 2017 Preto,,Muito Bom
179,Samsung Galaxy A7 2017 Preto,,Bom
180,Samsung Galaxy A7 2017 Preto,,Novo
181,Samsung Galaxy A5 2016 Rosa,"599,00",Excelente
182,Samsung Galaxy A5 2016 Rosa,"539,00",Muito Bom
183,Samsung Galaxy A5 2016 Rosa,"489,00",Bom
184,Samsung Galaxy J7 2016 Metal Preto,"569,00",Excelente
185,Samsung Galaxy J7 2016 Metal Preto,"529,00",Muito Bom
186,Samsung Galaxy J7 2016 Metal Preto,,Bom
187,Samsung Galaxy A5 Preto,"499,00",Excelente
188,Samsung Galaxy A5 Preto,"459,00",Muito Bom
189,Samsung Galaxy A5 Preto,"409,00",Bom
190,Samsung Galaxy A5 2017 Preto,"899,00",Excelente
191,Samsung Galaxy A5 2017 Preto,"789,00",Muito Bom
192,Samsung Galaxy A5 2017 Preto,"699,00",Bom
193,Samsung Galaxy A5 2016 Dourado,"599,00",Excelente
